,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
0,@BBC,Sat May 23 16:01:00 +0000 2020,"#FindingDory = perfect weekend film!   🙌🐠

6.20pm | @BBCOne &amp; @BBCiPlayer.

👉 https://t.co/epX87pTvAr https://t.co/cshunjl5Kx",0.6114,0.174,0.826,0.0,1
1,@BBC,Sat May 23 15:01:00 +0000 2020,"We hope this brings you some much needed tranquility. 😌

This is the Mindful Mix with David Attenborough. 🍃

Listen… https://t.co/ls7qmnyu5U",0.8074,0.274,0.726,0.0,2
2,@BBC,Sat May 23 13:01:00 +0000 2020,"""If any good can come of me sharing my experience, I hope it's that it encourages more men to be vocal and not keep… https://t.co/lBx2oVxRNs",0.8885,0.354,0.646,0.0,3
3,@BBC,Sat May 23 12:47:16 +0000 2020,"RT @BBCTheOneShow: In support of #MentalHealthAwarenessWeek @professorgreen, @craigdavid, @jamesarthur23 and @snowpatrol's Gary Lightbody t…",0.4019,0.172,0.828,0.0,4
4,@BBC,Sat May 23 12:01:00 +0000 2020,"Israeli investors develop face mask with remote-controlled mouth hole.
https://t.co/NHFpQqUvk5",0.0,0.0,1.0,0.0,5
5,@BBC,Sat May 23 11:01:00 +0000 2020,"The Duke of Cambridge, Gareth Southgate and this team of football royalty kick off an important discussion on men’s… https://t.co/DdvZ0TKH9m",0.2023,0.087,0.913,0.0,6
6,@BBC,Sat May 23 09:28:00 +0000 2020,"Who haven't we heard from yet on Coronavirus? Oh right, Philomena Cunk! 

@charltonbrooker's #AntiviralWipe is stre… https://t.co/lJunb7Wo54",0.0,0.0,1.0,0.0,7
7,@BBC,Fri May 22 19:01:00 +0000 2020,"Tonight chatting to #GrahamNorton...

✨ @katyperry!
✨@SteveCarell!
✨Dakota Johnson!
✨Alan Carr (@chattyman)!
✨Music… https://t.co/3oKYbSxZeE",0.5374,0.211,0.789,0.0,8
8,@BBC,Fri May 22 19:01:00 +0000 2020,"Piglet rescue! 😭❤️

Roaming In The Wild is streaming now on @bbciplayer.

Via @bbcthesocial.

https://t.co/CTXCTkeqBX",0.126,0.152,0.718,0.131,9
9,@BBC,Fri May 22 16:01:00 +0000 2020,"Here is @matthaig1's simple piece of advice for better #MentalHealth.

What's your simple tip?
https://t.co/toSiVTl3bX",0.4404,0.172,0.828,0.0,10
10,@BBC,Fri May 22 15:58:20 +0000 2020,"RT @bbcouch: Ouch favourites @MarkOneinFour and @ms_molly_vog bare all in this mental health special of #OuchCabinFever

When the world wen…",0.4019,0.124,0.876,0.0,11
11,@BBC,Fri May 22 15:27:49 +0000 2020,"RT @BBCR1: Here's how the #BigWeekend Headliner and Radio 1 stages are looking for Saturday 23rd and Sunday 24th May! 😍

Check out set-time…",0.5093,0.112,0.888,0.0,12
12,@BBC,Fri May 22 14:04:03 +0000 2020,Find out more about the BBC's focus on mental health this May: https://t.co/9Z8jrQrIck,0.0,0.0,1.0,0.0,13
13,@BBC,Fri May 22 14:01:00 +0000 2020,"If you're finding lockdown tough because you live alone, Tobi Green Adenowo (@ToughCookieTee) has some tips to make… https://t.co/zJD44nbNov",-0.3612,0.0,0.829,0.171,14
14,@BBC,Fri May 22 13:28:25 +0000 2020,"RT @bbcworldservice: Dressing up for Eid needn’t be stopped by lockdown – here are @theswolearab, Fatima and Hira with their style tips htt…",-0.2263,0.0,0.921,0.079,15
15,@BBC,Fri May 22 12:51:33 +0000 2020,"RT @HackerTDog: GET THE #FridayFeeling BY WATCHING ME MAKE LOADS OF CELEBRITIES LOL OUT LOUD. WATCH MY NEW FILM HERE:
https://t.co/Bq7cRYke…",0.5473,0.15,0.85,0.0,16
16,@BBC,Fri May 22 12:25:44 +0000 2020,"RT @bbcpress: New comedy series #Staged, starring #DavidTennant and @MichaelSheen, is coming to @BBCOne in June. Here's a little taster of…",0.3612,0.111,0.889,0.0,17
17,@BBC,Fri May 22 11:01:00 +0000 2020,"With fashion weeks going digital because of Covid-19, 3D artists are being hired to create virtual clothes, and eve… https://t.co/qIXRy0tUI7",0.2732,0.1,0.9,0.0,18
18,@BBC,Fri May 22 09:26:23 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,19
19,@BBC,Fri May 22 09:17:44 +0000 2020,More information about the range of programming about mental health across the BBC can be found here https://t.co/U3LM36WRcU,0.0,0.0,1.0,0.0,20
20,@BBC,Fri May 22 09:11:53 +0000 2020,Find out more about the BBC's focus on mental health this May: https://t.co/9Z8jrQrIck,0.0,0.0,1.0,0.0,21
21,@BBC,Fri May 22 08:45:56 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,22
22,@BBC,Fri May 22 08:11:47 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/LYeKPCdUPk",0.4019,0.153,0.847,0.0,23
23,@BBC,Fri May 22 08:01:00 +0000 2020,"‘I’d describe it like the reactions inside the sun.’

This is what it's like to live with severe anxiety.… https://t.co/aXLOTxZxgg",0.34,0.203,0.691,0.106,24
24,@BBC,Fri May 22 00:01:00 +0000 2020,"Three very powerful and personal stories about #MentalHealth - all streaming now on @bbciplayer.

Nadiya: Anxiety a… https://t.co/l5Fdpb6PuJ",0.3384,0.149,0.769,0.082,25
25,@BBC,Thu May 21 20:30:00 +0000 2020,".@JasonManford gives us his words of wisdom on mental health during lockdown, and the power of laughter ❤️ https://t.co/Imno3mD6kx",0.765,0.268,0.732,0.0,26
26,@BBC,Thu May 21 19:02:17 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,27
27,@BBC,Thu May 21 19:01:00 +0000 2020,This scene where Marianne and Connell finally address their class difference and how it's affected their relationsh… https://t.co/SwYPjla1Ji,-0.1531,0.0,0.914,0.086,28
28,@BBC,Thu May 21 18:01:00 +0000 2020,"Comedian @ItsTonySlattery meets experts to explore his psychological problems, finding out if he is definitely bipo… https://t.co/7614I03Iol",0.3818,0.241,0.636,0.123,29
29,@BBC,Thu May 21 16:20:13 +0000 2020,"To mark International Diversity Day, the BBC Director-General Tony Hall and UN Deputy Secretary-General Amina J Moh… https://t.co/qe9YYNQYSC",0.0,0.0,1.0,0.0,30
30,@BBC,Thu May 21 16:01:00 +0000 2020,"Another #ThisCountry deleted scene from @bbcthree: more of Mandy's stories.  🙌📚
https://t.co/s7D6Sc4Jpt",0.0,0.0,1.0,0.0,31
31,@BBC,Thu May 21 15:41:52 +0000 2020,RT @HackerTDog: YOU ARE ALL INVITED TO PLAY MY QUIZ AT 7.30PM LIVE TONIGHT ON MY YOUTUBE CHANNEL! GO AND SUBSCRIBE TO ME https://t.co/kFDPk…,0.5307,0.13,0.87,0.0,32
32,@BBC,Thu May 21 14:07:13 +0000 2020,⁣More information about the range of programming about mental health across the BBC can be found here https://t.co/U3LM36WRcU,0.0,0.0,1.0,0.0,33
33,@BBC,Thu May 21 14:06:45 +0000 2020,"Social media can be helpful and informative during lockdown - but it can also be overwhelming.

@naomishimada
 has… https://t.co/oCS7c3T4lp",0.2263,0.095,0.905,0.0,34
34,@BBC,Thu May 21 12:29:13 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,35
35,@BBC,Thu May 21 12:29:01 +0000 2020,Nadiya: Anxiety and Me is streaming now on @BBCiPlayer. https://t.co/cizeDDzBYx,-0.1779,0.0,0.841,0.159,36
36,@BBC,Thu May 21 12:01:00 +0000 2020,"Nadiya Hussain explains how severe anxiety affects her life.
 
@BegumNadiya #MentalHealth
https://t.co/BTZnT3dEQY",-0.5106,0.0,0.699,0.301,37
37,@BBC,Thu May 21 11:14:48 +0000 2020,RT @bbcpress: The BBC’s Director of Creative Diversity @JuneSarpong has committed to hardwire diversity and inclusion throughout the BBC -…,0.6124,0.217,0.783,0.0,38
38,@BBC,Thu May 21 10:42:34 +0000 2020,"RT @BBCSport: 💪 Want to get fit and need some structure to help you? 🗓

📲 #Couchto5K is the app for you ➡ https://t.co/z3IGRWqgYv https://t…",0.6705,0.188,0.812,0.0,39
39,@BBC,Thu May 21 10:41:59 +0000 2020,"RT @cbbc: It's #MentalHealthAwarenessWeek2020 and there is no better time to be kind to yourself and others 🥰 #BeKind #BBCOwnIt 
@JoeTasker…",0.6116,0.208,0.714,0.078,40
40,@BBC,Thu May 21 09:08:20 +0000 2020,"RT @BBC6Music: As premiered by @ChrisHawkinsuk...

Composer and producer @ErlandCooper explains how he used 6 Music listeners' sounds of ch…",0.0,0.0,1.0,0.0,41
41,@BBC,Thu May 21 08:01:00 +0000 2020,Love this!  😍 8-year-old @KatyPerry fan Charlotte gets the surprise of her life when her substitute teacher is... A… https://t.co/a3iB06Ubts,0.8977,0.385,0.615,0.0,42
42,@BBC,Thu May 21 05:57:24 +0000 2020,"What’s your mental health tip?

🧠 Mental health campaigner @matthaig1 joins @ChrisHawkinsUK this morning to kick of… https://t.co/sxITXwI65a",0.0,0.0,1.0,0.0,43
43,@BBC,Wed May 20 18:53:15 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,44
44,@BBC,Wed May 20 18:01:00 +0000 2020,.@DavidHarewood revisits a psychotic episode which saw him restrained by six police officers and sedated by hospita… https://t.co/BTx6ZDUy95,0.0,0.0,1.0,0.0,45
45,@BBC,Wed May 20 16:01:00 +0000 2020,"As our lives get more complicated, simple things become more precious. 💙 

@BelugaLagoon #MentalHealth
https://t.co/GePHVoevCo",0.6115,0.21,0.79,0.0,46
46,@BBC,Wed May 20 14:01:51 +0000 2020,More information about the range of programming about mental health across the BBC: https://t.co/9Z8jrQrIck,0.0,0.0,1.0,0.0,47
47,@BBC,Wed May 20 14:01:00 +0000 2020,"Whether you’ve been together for 8 weeks or 8 years, every relationship's under pressure in lockdown.

Relationship… https://t.co/s0Li4RyHQC",-0.296,0.0,0.885,0.115,48
48,@BBC,Wed May 20 13:07:13 +0000 2020,"RT @bbcthree: Roses are red, #ThisCountry is great
We liked this joke so much we made eight https://t.co/MAldf6mtRP",0.8555,0.385,0.615,0.0,49
49,@BBC,Wed May 20 12:01:00 +0000 2020,"These scientists are working hard to develop a safe vaccine for COVID-19.

Coronavirus: A #Horizon Special - Part 2… https://t.co/KuHyZAO8lN",0.6369,0.233,0.708,0.058,50
50,@BBC,Wed May 20 10:15:46 +0000 2020,"RT @bbcpress: Want to watch and listen to your favourite BBC programmes with your friends and family? @BBCRD have created #BBCTogether, all…",0.6597,0.252,0.748,0.0,51
51,@BBC,Wed May 20 09:11:49 +0000 2020,"Congratulations to @captaintommoore, who will soon be #SirCaptainTom!

It's been announced that he is to be knighte… https://t.co/6xdhv4jtUs",0.636,0.198,0.802,0.0,52
52,@BBC,Wed May 20 08:51:42 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,53
53,@BBC,Wed May 20 08:01:00 +0000 2020,"Why do some people get depressed?

The jam jar analogy is a helpful way of understanding why some people suffer fro… https://t.co/75Q9czfKIA",-0.6124,0.098,0.664,0.238,54
